"Target","Weather","Friction "
"1","3","0.01"
"1","3","0.02"
"1","3","0.03"
"1","3","0.04"
"1","3","0.05"
"1","3","0.06"
"1","3","0.07000000000000001"
"1","3","0.08"
"1","3","0.09"
"1","3","0.1"
"1","3","0.11"
"1","3","0.12"
"1","3","0.13"
"1","3","0.14"
"1","3","0.15"
"1","3","0.16"
"1","3","0.17"
"1","3","0.18"
"1","3","0.19"
"1","3","0.2"
"1","3","0.21"
"1","3","0.22"
"1","3","0.23"
"1","3","0.24"
"1","3","0.25"
"1","3","0.26"
"1","3","0.27"
"1","3","0.28"
"1","3","0.29"
"0.9","3","0.3"
"0.9","3","0.31"
"0.9","3","0.32"
"0.9","3","0.33"
"0.9","3","0.34"
"0.9","3","0.35"
"0.9","3","0.36"
"0.9","3","0.37"
"0.9","3","0.38"
"0.9","3","0.39"
"0.9","3","0.4"
"0.9","3","0.41"
"0.9","3","0.42"
"0.9","3","0.43"
"0.9","3","0.44"
"0.9","3","0.45"
"0.9","3","0.46"
"0.9","3","0.47"
"0.9","3","0.48"
"0.9","3","0.49"
"0.9","3","0.5"
"0.9","3","0.51"
"0.9","3","0.52"
"0.9","3","0.53"
"0.9","3","0.54"
"0.9","3","0.55"
"0.9","3","0.5600000000000001"
"0.9","3","0.57"
"0.9","3","0.58"
"0.9","3","0.59"
"0.9","3","0.6"
"0.9","3","0.61"
"0.9","3","0.62"
"0.9","3","0.63"
"0.9","3","0.64"
"0.9","3","0.65"
"0.9","3","0.66"
"0.9","3","0.67"
"0.9","3","0.68"
"0.9","3","0.6899999999999999"
"0.9","3","0.7"
"0.9","3","0.71"
"0.9","3","0.72"
"0.9","3","0.73"
"0.9","3","0.74"
"0.9","3","0.75"
"0.8","3","0.76"
"0.8","3","0.77"
"0.7","3","0.78"
"0.7","3","0.79"
"0.6","3","0.8"
"0.6","3","0.8100000000000001"
"0.5","3","0.82"
"0.5","3","0.83"
"0.4","3","0.84"
"0.4","3","0.85"
"0.4","3","0.86"
"0.3","3","0.87"
"0.3","3","0.88"
"0.3","3","0.89"
"0.3","3","0.9"
"0.3","3","0.91"
"0.3","3","0.92"
"0.2","3","0.93"
"0.1","3","0.9399999999999999"
"0","3","0.95"
"0","3","0.96"
"0","3","0.97"
"0","3","0.98"
"0","3","0.99"
"0","3","1"
"1","2","0.005"
"1","2","0.01"
"1","2","0.015"
"1","2","0.02"
"0.9","2","0.025"
"0.9","2","0.03"
"0.9","2","0.035"
"0.9","2","0.04"
"0.9","2","0.045"
"0.9","2","0.05"
"0.9","2","0.055"
"0.9","2","0.06"
"0.9","2","0.065"
"0.9","2","0.07000000000000001"
"0.9","2","0.075"
"0.9","2","0.08"
"0.9","2","0.08500000000000001"
"0.8","2","0.09"
"0.8","2","0.095"
"0.8","2","0.1"
"0.8","2","0.105"
"0.8","2","0.11"
"0.8","2","0.115"
"0.8","2","0.12"
"0.8","2","0.125"
"0.8","2","0.13"
"0.8","2","0.135"
"0.8","2","0.14"
"0.8","2","0.145"
"0.7","2","0.15"
"0.7","2","0.155"
"0.7","2","0.16"
"0.7","2","0.165"
"0.7","2","0.17"
"0.7","2","0.175"
"0.7","2","0.18"
"0.7","2","0.185"
"0.7","2","0.19"
"0.7","2","0.195"
