Target,TemperatureC,DewpointC,WindSpeedKMH,Humidity,HourlyPrecipMM
0,9.8,7.4,22.2,85,0
0,9.8,7.4,20.9,85,0
0,9.8,7.4,14.8,85,0
0,9.8,7.4,18.5,85,0
0,9.8,7.4,18.5,85,0
0,9.8,7.4,24.1,85,0
0,9.8,7.6,25.9,86,0
0,9.8,7.6,14.8,86,0
0,9.8,7.6,18.5,86,0
0,9.8,7.6,14.8,86,0
0,9.8,7.6,18.5,86,0
0,9.8,7.6,11.1,86,0
0,9.8,7.6,9.3,86,0
0,9.8,7.6,14.8,86,0
0,9.8,7.6,7.4,86,0
0,9.8,7.6,11.1,86,0
0,9.7,7.5,13,86,0
0,9.7,7.4,12.9,86,0
0,9.7,7.4,16.7,86,0
0,9.7,7.4,16.1,86,0
0,9.6,7.4,14.8,86,0
0,9.6,7.4,16.7,86,0
0,9.6,7.4,18.5,86,0
0,9.7,7.3,17.7,85,0
0,9.7,7.3,11.1,85,0
0,9.7,7.3,11.1,85,0
0,9.7,7.1,17.7,84,0
0,9.7,7.2,11.1,84,0
0,9.8,7.2,14.8,84,0
0,9.8,7.2,13,84,0
0,9.8,7.1,11.1,83,0
0,9.8,7.1,11.3,83,0
0,9.9,7.2,16.7,83,0
0,9.9,7,20.9,82,0
0,10.1,7.1,20.4,82,0
0,10.1,7.1,18.5,82,0
0,10.1,7.2,20.4,82,0
0,10.2,7.2,22.2,82,0
0,10.2,7.1,12.9,81,0
0,10.2,7.1,16.7,81,0
0,10.2,7.1,14.8,81,0
0,10.2,7.1,16.7,81,0
0,10.1,7.2,18.5,82,0
0,10.1,7.2,14.5,82,0
0,10.1,7.2,16.7,82,0
0,10.1,7.2,13,82,0
0,10.1,7.2,14.8,82,0
0,10.2,7.2,11.1,82,0
0,10.2,7.1,11.3,81,0
0,10.2,7.1,14.8,81,0
0,10.2,7.1,18.5,81,0
0,10.2,7.1,9.3,81,0
0,10.2,7.1,18.5,81,0
0,10.1,7,18.5,81,0
0,10.1,7,14.8,81,0
0,10.1,7,22.2,81,0
0,10.1,6.9,16.7,81,0
0,10.1,7.1,24.1,82,0
0,10.1,7.1,24.1,82,0
0,10.1,7.1,19.3,82,0
0,10,7.1,18.5,82,0
0,10,7.1,16.7,82,0
0,10.1,7.1,14.8,82,0
0,10.1,7.1,13,82,0
0,10,7.1,13,82,0
0,10,7.1,9.7,82,0
0,10,7.1,7.4,82,0
0,9.9,7,5.6,82,0
0,9.9,7,7.4,82,0
0,10,7.1,5.6,82,0
0,10,7.2,5.6,83,0
0,10,7.2,8,83,0
1,10,7.2,11.1,83,0.3
1,10.1,7.5,16.7,84,0.3
1,10.1,7.6,18.5,84,0.3
1,10.2,7.6,14.8,84,0.3
1,10.2,7.6,18.5,84,0.5
1,10.1,7.6,13,84,0.5
1,10.1,7.5,14.8,84,0.5
1,10,7.6,9.3,85,0.5
1,9.9,7.7,7.4,86,0.5
1,9.9,7.7,9.3,86,0.5
1,9.8,7.7,16.7,87,0.5
1,9.8,7.7,16.7,87,0.5
1,9.7,7.8,11.3,88,0.5
1,9.7,7.8,13,88,0.5
1,9.7,7.8,17.7,88,0.8
1,9.6,7.9,11.3,89,0.8
1,9.6,7.8,7.4,89,1
1,9.6,8,13,90,1
1,9.6,8,14.8,90,1
1,9.7,8.1,14.8,90,0.8
1,9.9,8.5,16.1,91,1
1,10.1,8.6,22.2,90,1
1,10.3,8.8,24.1,90,1
1,10.4,8.9,27.8,90,1.3
1,10.5,8.9,22.2,90,1.3
1,10.5,8.9,14.8,90,1
1,10.6,9.1,24.1,90,1
1,10.7,8.9,18.5,89,1
1,10.7,8.9,27.8,89,0.8
1,10.8,8.9,18.5,88,0.8
1,10.8,8.7,35.4,87,0.5
1,10.9,8.6,31.5,86,0.5
1,10.9,8.5,25.9,85,0.5
1,10.9,8.5,27.8,85,0.5
1,10.9,8.5,24.1,85,0.5
1,10.9,8.3,20.4,84,0.5
1,10.9,8.5,31.5,85,0.5
1,10.9,8.4,22.2,85,0.5
1,11.1,8.6,38.9,85,0.5
1,11.1,8.5,25.9,84,0.3
1,11.2,8.6,20.4,84,0.3
1,11.3,8.7,25.9,84,0.3
1,11.3,8.7,22.2,84,0.3
1,11.4,8.8,37,84,0.3
1,11.5,8.9,29.6,84,0.3
1,11.7,9.1,38.9,84,0.3
0,11.8,9.3,41.8,85,0
0,11.8,9.3,27.8,85,0
0,11.8,9.3,35.2,85,0
0,11.8,9.3,29.6,85,0
0,11.8,9.6,31.5,86,0
0,12,9.7,37,86,0
0,12.1,9.8,29.6,86,0
0,12.3,10,40.7,86,0
1,12.3,9.9,42.6,85,0.3
1,12.4,10.1,38.9,86,0.3
1,12.5,10.2,33.3,86,0.3
1,12.6,10.3,38.9,86,0.3
1,12.6,10.3,46.7,86,0.3
1,12.6,10.3,46.7,86,0.3
1,12.7,10.6,46.3,87,0.3
1,12.7,10.6,46.3,87,0.3
1,12.8,10.7,40.7,87,0.3
1,12.9,10.8,29.6,87,0.3
1,13,10.9,38.9,87,0.3
1,13.1,10.9,29.6,87,0.3
1,13.1,11,37,87,0.3
1,13.3,11.2,38.9,87,0.3
1,13.3,11.1,38.6,86,0.3
1,13.4,11.3,40.7,87,0.3
0,13.5,11.2,44.4,86,0
0,13.5,11.2,38.9,86,0
0,13.5,11.4,33.3,87,0
0,13.6,11.4,31.5,87,0
0,13.6,11.4,35.4,87,0
0,13.6,11.4,38.9,87,0
0,13.6,11.4,27.8,87,0
0,13.5,11.4,38.9,87,0
0,13.4,11.4,51.8,88,0
0,13.3,11.4,25.9,88,0
0,13.3,11.5,38.9,89,0
0,13.2,11.4,25.9,89,0
0,13.1,11.5,33.3,90,0
1,13.1,11.4,37,90,0.3
1,12.9,11.5,25.9,91,0.3
1,12.9,11.4,31.5,91,0.3
1,12.9,11.4,27.8,91,0.3
1,12.9,11.4,29.6,91,0.3
1,12.9,11.4,25.9,91,0.3
1,12.9,11.5,29.6,91,0.3
1,13,11.6,41.8,91,0.3
1,13,11.6,33.3,91,0.3
1,13,11.6,31.5,91,0.3
1,13,11.6,29.6,91,0.3
1,13.1,11.8,37,92,0.3
1,13.1,11.8,38.9,92,0.3
1,13.1,11.8,31.5,92,0.3
1,13.1,11.7,31.5,91,0.3
0,13.1,11.7,29.6,91,0
0,13.2,11.7,35.2,91,0
0,13.2,11.8,33.3,91,0
0,13.3,11.8,42.6,91,0
0,13.3,11.9,37,91,0
0,13.3,11.7,35.2,90,0
0,13.3,11.8,22.2,91,0
0,13.3,11.8,31.5,91,0
0,13.2,11.8,25.9,91,0
0,13.3,11.8,29.6,91,0
0,13.3,11.8,31.5,91,0
0,13.3,11.9,37,91,0
0,13.4,11.9,33.3,91,0
0,13.4,11.8,31.5,90,0
0,13.5,11.9,40.7,90,0
0,13.6,11.9,38.9,90,0
0,13.6,11.9,31.5,90,0
0,13.6,12,50,90,0
0,13.7,12.1,31.5,90,0
0,13.7,12.1,35.2,90,0
0,13.7,12.1,38.9,90,0
0,13.7,12.1,35.4,90,0
0,13.8,12.2,31.5,90,0
0,13.8,12.2,30.6,90,0
0,13.8,12.2,38.9,90,0
0,13.9,12.3,35.2,90,0
0,13.9,12.4,33.8,91,0
0,13.8,12.4,29.6,91,0
0,13.9,12.4,31.5,91,0
0,13.9,12.4,40.7,91,0
0,13.9,12.6,25.9,92,0
0,13.9,12.6,33.3,92,0
0,13.8,12.6,27.8,92,0
0,13.8,12.6,38.9,92,0
0,13.8,12.7,31.5,93,0
0,13.8,12.7,31.5,93,0
1,13.8,12.7,22.2,93,0.3
1,13.8,12.7,24.1,93,0.3
1,13.9,12.8,27.8,93,0.3
1,13.9,12.8,29.6,93,0.3
1,13.9,12.8,29,93,0.3
1,13.9,12.8,31.5,93,0.3
1,13.9,12.8,29.6,93,0.3
1,13.9,13,31.5,94,0.3
1,13.9,13,33.3,94,0.3
1,14,13.1,33.3,94,0.3
1,14.1,13.1,33.3,94,0.3
1,14.2,13.1,38.6,93,0.3
1,14.3,13.2,38.6,93,0.3
1,14.3,13.1,35.2,92,0.3
1,14.4,12.9,31.5,91,0.3
0,14.4,12.9,27.8,91,0
0,14.5,12.9,42.6,90,0
0,14.6,12.9,38.6,90,0
0,14.6,12.8,38.9,89,0
0,14.6,12.8,33.3,89,0
0,14.6,12.8,46.3,89,0
0,14.6,12.7,27.8,88,0
0,14.6,12.6,38.9,88,0
1,13.8,11.8,37,88,0.3
1,12.9,10.9,37,88,0.3
1,12.4,10.5,50,88,0.3
1,12.4,10.4,42.6,88,0.3
1,12.3,10.4,37,88,0.3
1,12.2,10.3,51.8,88,0.3
1,12.2,10.2,31.5,88,0.3
1,12.2,10.2,40.7,88,0.3
1,12.1,10.1,33.3,88,0.3
1,11.9,10.2,29.6,89,0.3
1,11.7,10.1,33.8,90,0.5
1,11.5,9.9,44.4,90,0.5
1,11.4,9.8,46.3,90,0.5
1,11.4,9.8,42.6,90,0.5
1,11.4,9.7,32.2,89,0.5
1,11.4,9.7,31.5,89,0.5
1,11.4,9.5,37,88,0.5
