Id,Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SolarRadiationWatts/m^2,SoftwareType,DateUTC,station
0,2018-05-03 00:01:00,7.3,4.1,1009.7,North,360,14.8,14.8,80,0.0,CLR,,1.5,0.0,WeatherDisplay:10.37,2018-05-02 23:01:00,IBELFAST4
1,2018-05-03 00:06:00,7.2,4.0,1009.7,North,360,14.8,14.8,80,0.0,RA,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:06:00,IBELFAST4
2,2018-05-03 00:11:00,7.2,4.0,1009.7,North,360,18.5,18.5,80,0.0,RA,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:11:00,IBELFAST4
3,2018-05-03 00:16:00,7.2,4.0,1009.7,North,360,14.8,14.8,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:16:00,IBELFAST4
4,2018-05-03 00:21:00,7.2,4.0,1009.7,North,360,20.4,20.4,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:21:00,IBELFAST4
5,2018-05-03 00:26:00,7.2,4.0,1009.7,North,360,18.5,18.5,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:26:00,IBELFAST4
6,2018-05-03 00:31:00,7.2,3.9,1009.7,North,360,14.8,14.8,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:31:00,IBELFAST4
7,2018-05-03 00:36:00,7.1,3.9,1009.7,North,360,18.5,18.5,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:36:00,IBELFAST4
8,2018-05-03 00:41:00,7.0,3.8,1010.0,North,360,14.8,14.8,80,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:41:00,IBELFAST4
9,2018-05-03 00:46:00,6.9,3.9,1010.0,North,360,16.7,16.7,81,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:46:00,IBELFAST4
10,2018-05-03 00:51:00,6.8,3.8,1010.0,North,360,12.1,12.1,81,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:51:00,IBELFAST4
11,2018-05-03 00:56:00,6.8,3.7,1010.0,North,360,6.1,6.1,81,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-02 23:56:00,IBELFAST4
12,2018-05-03 01:01:00,6.8,3.7,1010.0,North,360,13.0,13.0,81,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:01:00,IBELFAST4
13,2018-05-03 01:06:00,6.7,3.9,1010.0,North,360,7.4,7.4,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:06:00,IBELFAST4
14,2018-05-03 01:11:00,6.7,3.9,1010.0,North,360,13.0,13.0,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:11:00,IBELFAST4
15,2018-05-03 01:16:00,6.7,3.8,1010.0,North,360,8.0,8.0,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:16:00,IBELFAST4
16,2018-05-03 01:21:00,6.7,3.8,1010.4,North,360,7.4,7.4,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:21:00,IBELFAST4
17,2018-05-03 01:26:00,6.7,3.8,1010.4,North,360,13.0,13.0,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:26:00,IBELFAST4
18,2018-05-03 01:31:00,6.7,3.8,1010.4,North,360,14.8,14.8,82,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:31:00,IBELFAST4
19,2018-05-03 01:36:00,6.7,4.0,1010.4,North,360,13.0,13.0,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:36:00,IBELFAST4
20,2018-05-03 01:41:00,6.7,4.0,1010.4,North,360,16.7,16.7,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:41:00,IBELFAST4
21,2018-05-03 01:46:00,6.7,4.1,1010.4,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:46:00,IBELFAST4
22,2018-05-03 01:51:00,6.8,4.2,1010.4,North,360,20.4,20.4,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:51:00,IBELFAST4
23,2018-05-03 01:56:00,6.8,4.2,1010.4,North,360,12.1,12.1,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 00:56:00,IBELFAST4
24,2018-05-03 02:01:00,6.9,4.2,1010.4,North,360,16.7,16.7,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:01:00,IBELFAST4
25,2018-05-03 02:06:00,6.9,4.2,1010.4,North,360,9.3,9.3,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:06:00,IBELFAST4
26,2018-05-03 02:11:00,6.9,4.2,1010.4,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:11:00,IBELFAST4
27,2018-05-03 02:16:00,6.9,4.2,1010.4,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:16:00,IBELFAST4
28,2018-05-03 02:21:00,6.9,4.3,1010.7,North,360,13.0,13.0,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:21:00,IBELFAST4
29,2018-05-03 02:26:00,6.9,4.3,1010.7,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:26:00,IBELFAST4
30,2018-05-03 02:31:00,7.0,4.3,1010.7,North,360,14.2,14.2,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:31:00,IBELFAST4
31,2018-05-03 02:33:00,7.0,4.3,1010.7,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:33:00,IBELFAST4
32,2018-05-03 02:38:00,7.1,4.6,1011.1,North,360,16.7,16.7,84,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:38:00,IBELFAST4
33,2018-05-03 02:43:00,7.1,4.4,1011.1,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:43:00,IBELFAST4
34,2018-05-03 02:48:00,7.1,4.4,1011.1,North,360,13.0,13.0,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:48:00,IBELFAST4
35,2018-05-03 02:53:00,7.1,4.4,1011.1,North,360,16.7,16.7,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:53:00,IBELFAST4
36,2018-05-03 02:58:00,7.1,4.4,1011.1,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 01:58:00,IBELFAST4
37,2018-05-03 03:03:00,7.1,4.4,1011.1,North,360,20.1,20.1,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:03:00,IBELFAST4
38,2018-05-03 03:08:00,7.1,4.4,1011.1,North,360,16.7,16.7,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:08:00,IBELFAST4
39,2018-05-03 03:13:00,7.1,4.4,1011.1,North,360,20.4,20.4,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:13:00,IBELFAST4
40,2018-05-03 03:18:00,7.1,4.4,1011.1,North,360,14.8,14.8,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:18:00,IBELFAST4
41,2018-05-03 03:23:00,7.1,4.4,1011.1,North,360,18.5,18.5,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:23:00,IBELFAST4
42,2018-05-03 03:28:00,7.1,4.4,1011.1,North,360,16.7,16.7,83,0.0,CLR,,0.0,0.0,WeatherDisplay:10.37,2018-05-03 02:28:00,IBELFAST4
